product.sku,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id
4435_14,12590.5511811,1.5,27,15990,1,1
4435_15,12590.5511811,1.5,27,15990,0,1
4435_16,12590.5511811,1.5,27,15990,0,1
4435_17,12590.5511811,1.5,27,15990,0,1
4435_18,12590.5511811,1.5,27,15990,0,1
4436_01,12590.5511811,1.5,27,15990,0,1
4436_02,12590.5511811,1.5,27,15990,1,1
4436_03,12590.5511811,1.5,27,15990,0,1
4436_04,12590.5511811,1.5,27,15990,0,1
4436_05,12590.5511811,1.5,27,15990,0,1
4436_06,12590.5511811,1.5,27,15990,0,1
4436_07,12590.5511811,1.5,27,15990,0,1
4436_08,12590.5511811,1.5,27,15990,0,1
4436_09,12590.5511811,1.5,27,15990,0,1
4436_10,12590.5511811,1.5,27,15990,0,1
4436_11,12590.5511811,1.5,27,15990,0,1
4436_12,12590.5511811,1.5,27,15990,0,1
4436_13,12590.5511811,1.5,27,15990,0,1
4436_14,12590.5511811,1.5,27,15990,0,1
4436_15,12590.5511811,1.5,27,15990,3,1
4436_16,12590.5511811,1.5,27,15990,3,1
4436_17,12590.5511811,1.5,27,15990,0,1
4436_18,12590.5511811,1.5,27,15990,0,1
4437_01,12590.5511811,1.5,27,15990,0,1
4437_02,12590.5511811,1.5,27,15990,0,1
4437_03,12590.5511811,1.5,27,15990,0,1
4437_04,12590.5511811,1.5,27,15990,0,1
4437_05,12590.5511811,1.5,27,15990,0,1
4437_06,12590.5511811,1.5,27,15990,0,1
4437_07,12590.5511811,1.5,27,15990,0,1
4437_08,12590.5511811,1.5,27,15990,0,1
4437_09,12590.5511811,1.5,27,15990,0,1
4437_10,12590.5511811,1.5,27,15990,0,1
4437_11,12590.5511811,1.5,27,15990,0,1
4437_12,12590.5511811,1.5,27,15990,0,1
4437_13,12590.5511811,1.5,27,15990,0,1
4437_14,12590.5511811,1.5,27,15990,0,1
4437_15,12590.5511811,1.5,27,15990,0,1
4437_16,12590.5511811,1.5,27,15990,0,1
4437_17,12590.5511811,1.5,27,15990,1,1
4437_18,12590.5511811,1.5,27,15990,0,1
4454_01,14165.3543307,1.5,27,17990,0,1
4454_02,14165.3543307,1.5,27,17990,1,1
4454_03,14165.3543307,1.5,27,17990,0,1
4454_04,14165.3543307,1.5,27,17990,0,1
4454_05,14165.3543307,1.5,27,17990,0,1
4454_06,14165.3543307,1.5,27,17990,0,1
4454_07,14165.3543307,1.5,27,17990,0,1
4454_08,14165.3543307,1.5,27,17990,1,1
4454_09,14165.3543307,1.5,27,17990,2,1
4454_10,14165.3543307,1.5,27,17990,1,1
4454_11,14165.3543307,1.5,27,17990,0,1
4454_12,14165.3543307,1.5,27,17990,2,1
4454_13,14165.3543307,1.5,27,17990,1,1
4454_14,14165.3543307,1.5,27,17990,0,1
4454_15,14165.3543307,1.5,27,17990,5,1
4454_16,14165.3543307,1.5,27,17990,2,1
4454_17,14165.3543307,1.5,27,17990,1,1
4454_18,14165.3543307,1.5,27,17990,1,1
4454_19,14165.3543307,1.5,27,17990,0,1
4454_20,14165.3543307,1.5,27,17990,0,1
4455_01,14165.3543307,1.5,27,17990,0,1
4455_02,14165.3543307,1.5,27,17990,0,1
4455_03,14165.3543307,1.5,27,17990,0,1
4455_04,14165.3543307,1.5,27,17990,0,1
4455_05,14165.3543307,1.5,27,17990,0,1
4455_06,14165.3543307,1.5,27,17990,0,1
4455_07,14165.3543307,1.5,27,17990,0,1
4455_08,14165.3543307,1.5,27,17990,0,1
4455_09,14165.3543307,1.5,27,17990,0,1
4455_10,14165.3543307,1.5,27,17990,0,1
4455_11,14165.3543307,1.5,27,17990,0,1
4455_12,14165.3543307,1.5,27,17990,1,1
4455_13,14165.3543307,1.5,27,17990,1,1
4455_14,14165.3543307,1.5,27,17990,1,1
4455_15,14165.3543307,1.5,27,17990,0,1
4455_16,14165.3543307,1.5,27,17990,1,1
4455_17,14165.3543307,1.5,27,17990,0,1
4455_18,14165.3543307,1.5,27,17990,0,1
4465_01,6291.33858268,1.5,27,7990,0,1
4476_01,5503.93700787,1.5,27,6990,0,1
4476_02,5503.93700787,1.5,27,6990,0,1
4476_03,5503.93700787,1.5,27,6990,0,1
4476_04,5503.93700787,1.5,27,6990,0,1
4511_01,13377.9527559,1.5,27,16990,0,1
4511_02,13377.9527559,1.5,27,16990,1,1
4511_03,13377.9527559,1.5,27,16990,0,1
4511_04,13377.9527559,1.5,27,16990,0,1
4511_05,13377.9527559,1.5,27,16990,0,1
4511_06,13377.9527559,1.5,27,16990,0,1
4511_07,13377.9527559,1.5,27,16990,0,1
4511_08,13377.9527559,1.5,27,16990,0,1
4511_09,13377.9527559,1.5,27,16990,1,1
4511_10,13377.9527559,1.5,27,16990,0,1
4511_11,13377.9527559,1.5,27,16990,0,1
4511_12,13377.9527559,1.5,27,16990,1,1
4511_13,13377.9527559,1.5,27,16990,0,1
4511_14,13377.9527559,1.5,27,16990,0,1
4511_15,13377.9527559,1.5,27,16990,1,1
4511_16,13377.9527559,1.5,27,16990,1,1
4511_17,13377.9527559,1.5,27,16990,0,1
4511_18,13377.9527559,1.5,27,16990,0,1
4709_01,5503.93700787,1.5,27,6990,1,1
4709_02,5503.93700787,1.5,27,6990,0,1
4709_03,5503.93700787,1.5,27,6990,1,1
4709_04,5503.93700787,1.5,27,6990,0,1
4985_01,5503.93700787,1.5,27,6990,0,1
4985_02,5503.93700787,1.5,27,6990,0,1
5168_01,11803.1496063,1.5,27,14990,0,1
5168_02,11803.1496063,1.5,27,14990,1,1
5283_01,6291.33858268,1.5,27,7990,0,1
5306_01,4716.53543307,1.5,27,5990,0,1
5358_01,14165.3543307,1.5,27,17990,0,1
5358_02,14165.3543307,1.5,27,17990,0,1
5358_03,14165.3543307,1.5,27,17990,0,1
5358_04,14165.3543307,1.5,27,17990,0,1
5358_05,14165.3543307,1.5,27,17990,0,1
5358_06,14165.3543307,1.5,27,17990,0,1
5358_07,14165.3543307,1.5,27,17990,0,1
5358_08,14165.3543307,1.5,27,17990,0,1
5358_09,14165.3543307,1.5,27,17990,0,1
5358_10,14165.3543307,1.5,27,17990,0,1
5358_11,14165.3543307,1.5,27,17990,0,1
5358_12,14165.3543307,1.5,27,17990,0,1
5358_13,14165.3543307,1.5,27,17990,0,1
5358_14,14165.3543307,1.5,27,17990,0,1
5358_15,14165.3543307,1.5,27,17990,1,1
5358_16,14165.3543307,1.5,27,17990,0,1
5358_17,14165.3543307,1.5,27,17990,0,1
5358_18,14165.3543307,1.5,27,17990,0,1
5456_01,4716.53543307,1.5,27,5990,0,1
5487_01,12590.5511811,1.5,27,15990,0,1
5487_02,12590.5511811,1.5,27,15990,0,1
5487_03,12590.5511811,1.5,27,15990,0,1
5487_04,12590.5511811,1.5,27,15990,0,1
5487_05,12590.5511811,1.5,27,15990,0,1
5487_06,12590.5511811,1.5,27,15990,0,1
5487_07,12590.5511811,1.5,27,15990,3,1
5487_08,12590.5511811,1.5,27,15990,0,1
5487_09,12590.5511811,1.5,27,15990,0,1
5487_10,12590.5511811,1.5,27,15990,0,1
5487_11,12590.5511811,1.5,27,15990,0,1
5487_12,12590.5511811,1.5,27,15990,0,1
5487_13,12590.5511811,1.5,27,15990,0,1
5487_14,12590.5511811,1.5,27,15990,0,1
5495_01,2748.03149606,1.5,27,3490,53,1
5686_01,12590.5511811,1.5,27,15990,1,1
5700_01,12590.5511811,1.5,27,15990,1,1
5700_02,12590.5511811,1.5,27,15990,1,1
5704_01,12590.5511811,1.5,27,15990,1,1
5742_01,2748.03149606,1.5,27,3490,67,1
5807_01,17314.9606299,1.5,27,21990,0,1
5807_02,17314.9606299,1.5,27,21990,0,1
