product.sku,product.model,product.product_ring_id,product.status,product.sort_order,product.manufacturer_id,product_to_category.category_name,product.image,product.image_alt,product_image.image.1,product_image.image.2,product_image.image.3,product_image.image.4,product_image.image.5,product_image.image.6,product_image.image.7,product_image.image.8,product_image.image_alt.1,product_image.image_alt.2,product_image.image_alt.3,product_image.image_alt.4,product_image.image_alt.5,product_image.image_alt.6,product_image.image_alt.7,product_image.image_alt.8,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id,product.minimum,product.shipping,product.available,product.date_available,product_description.name.hu,product_description.quantity_name.hu,product_description.short_description.hu,product_description.description.hu,product_special.price.1,product.product_class_id,attr_values.meret.hu,attr_values.meret_ruha.hu,attr_values.szin.hu
4455_13,700053804258,4455_01,1,-4455,Vans,Férfi cipő;Női cipő,product/2017/4455_1.jpg,Vans Old Skool Navy,product/2017/4455_2.jpg,product/2017/4455_3.jpg,product/2017/4455_4.jpg,product/2017/4455_5.jpg,,,,,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,14165.3543307,1.5,27,17990,1,0,1,1,1,2017-08-24 16:25:18,Vans Old Skool Navy,db,,,0,cipo,"44","","Kék"
4455_14,700053804265,4455_01,1,-4455,Vans,Férfi cipő;Női cipő,product/2017/4455_1.jpg,Vans Old Skool Navy,product/2017/4455_2.jpg,product/2017/4455_3.jpg,product/2017/4455_4.jpg,product/2017/4455_5.jpg,,,,,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,14165.3543307,1.5,27,17990,1,0,1,1,1,2017-08-24 16:24:04,Vans Old Skool Navy,db,,,0,cipo,"44,5","","Kék"
4455_16,700053804289,4455_01,1,-4455,Vans,Férfi cipő;Női cipő,product/2017/4455_1.jpg,Vans Old Skool Navy,product/2017/4455_2.jpg,product/2017/4455_3.jpg,product/2017/4455_4.jpg,product/2017/4455_5.jpg,,,,,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,14165.3543307,1.5,27,17990,1,0,1,1,1,2017-08-15 11:05:32,Vans Old Skool Navy,db,,,0,cipo,"46","","Kék"
4511_02,700053843233,4511_01,1,-4511,Vans,Férfi cipő;Női cipő,product/2017/4511_1.jpg,Vans Era Navy,product/2017/4511_2.jpg,product/2017/4511_3.jpg,product/2017/4511_4.jpg,product/2017/4511_5.jpg,,,,,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,13377.9527559,1.5,27,16990,1,0,1,1,1,2016-02-17 10:52:39,Vans Era Navy,db,,,10700.7874016,cipo,"36","","Kék"
4511_09,700053843301,4511_01,1,-4511,Vans,Férfi cipő;Női cipő,product/2017/4511_1.jpg,Vans Era Navy,product/2017/4511_2.jpg,product/2017/4511_3.jpg,product/2017/4511_4.jpg,product/2017/4511_5.jpg,,,,,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,13377.9527559,1.5,27,16990,1,0,1,1,1,2016-02-17 10:52:39,Vans Era Navy,db,,,10700.7874016,cipo,"40,5","","Kék"
4511_12,700053843332,4511_01,1,-4511,Vans,Férfi cipő;Női cipő,product/2017/4511_1.jpg,Vans Era Navy,product/2017/4511_2.jpg,product/2017/4511_3.jpg,product/2017/4511_4.jpg,product/2017/4511_5.jpg,,,,,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,13377.9527559,1.5,27,16990,1,0,1,1,1,2016-02-17 10:52:39,Vans Era Navy,db,,,10700.7874016,cipo,"42,5","","Kék"
4511_15,700053843363,4511_01,1,-4511,Vans,Férfi cipő;Női cipő,product/2017/4511_1.jpg,Vans Era Navy,product/2017/4511_2.jpg,product/2017/4511_3.jpg,product/2017/4511_4.jpg,product/2017/4511_5.jpg,,,,,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,13377.9527559,1.5,27,16990,1,0,1,1,1,2016-02-17 10:52:39,Vans Era Navy,db,,,10700.7874016,cipo,"44,5","","Kék"
4511_16,700053843370,4511_01,1,-4511,Vans,Férfi cipő;Női cipő,product/2017/4511_1.jpg,Vans Era Navy,product/2017/4511_2.jpg,product/2017/4511_3.jpg,product/2017/4511_4.jpg,product/2017/4511_5.jpg,,,,,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,Vans Era Navy,13377.9527559,1.5,27,16990,1,0,1,1,1,2016-02-17 10:52:39,Vans Era Navy,db,,,10700.7874016,cipo,"45","","Kék"
4709_01,732075993115,,1,-4709,Vans,Férfi ruházat ||| Póló,product/2017/4709_1.jpg,Vans Classic White/Black,product/2017/4709_2.jpg,product/2017/4709_3.jpg,,,,,,,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,5503.93700787,1.5,27,6990,1,0,1,1,1,2017-08-24 16:29:53,Vans Classic White/Black,db,,,4401.57480315,ruhazat,"","L","Feher"
4709_03,732075993092,4709_01,1,-4709,Vans,Férfi ruházat ||| Póló,product/2017/4709_1.jpg,Vans Classic White/Black,product/2017/4709_2.jpg,product/2017/4709_3.jpg,,,,,,,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,Vans Classic White/Black,5503.93700787,1.5,27,6990,1,0,1,1,1,2017-08-24 16:29:53,Vans Classic White/Black,db,,,4401.57480315,ruhazat,"","S","Feher"
