identifier,manufacturer,name,category,product_url,image_url,price,net_price,description,delivery_cost,delivery_time	
"7134", "Vans", "Half Cab Pro - Black/Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/half-cab-pro/7134", "https://coreshop.hu/pictures/termekek/7/1/3/4/1_large.jpg", "21990", "17315", "", "ingyenes", "1 munkanap" 
"7133", "Vans", "Gilbert Crockett 2 Pro - Gunmetal/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/gilbert-crockett-2-pro/7133", "https://coreshop.hu/pictures/termekek/7/1/3/3/1_large.jpg", "20990", "16528", "", "ingyenes", "1 munkanap" 
"7132", "Vans", "SK8-Hi Pro - Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/sk8-hi-pro/7132", "https://coreshop.hu/pictures/termekek/7/1/3/2/1_large.jpg", "21990", "17315", "", "ingyenes", "1 munkanap" 
"7131", "Vans", "SK8-Hi - Madder Brown/True White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/sk8-hi/7131", "https://coreshop.hu/pictures/termekek/7/1/3/1/1_large.jpg", "21990", "17315", "A Vans legendás magas szárú cipőinek eme kultikus tagja hozta be elsőként a valódi sportcipők stabilitását a gördeszkázás világába. A SK8-Hi igen népszerű modell lett, deszkások, zenészek, művészek és az ellenkultúra követőinek kedvence. Felsőrész anyaga: velúr bőr és vászon kombinációja.", "ingyenes", "1 munkanap" 
"7130", "Vans", "Sanction - (Canvas) Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/sanction/7130", "https://coreshop.hu/pictures/termekek/7/1/3/0/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"7129", "Vans", "Chukka Low - Rich Navy/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/chukka-low/7129", "https://coreshop.hu/pictures/termekek/7/1/2/9/1_large.jpg", "19990", "15740", "", "ingyenes", "1 munkanap" 
"7128", "Vans", "Chukka Low - (Denim) Black/Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/chukka-low/7128", "https://coreshop.hu/pictures/termekek/7/1/2/8/1_large.jpg", "19990", "15740", "", "ingyenes", "1 munkanap" 
"7127", "Vans", "SK8-Hi - Navy", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/sk8-hi/7127", "https://coreshop.hu/pictures/termekek/7/1/2/7/1_large.jpg", "20990", "16528", "A Vans legendás magas szárú cipőinek eme kultikus tagja hozta be elsőként a valódi sportcipők stabilitását a gördeszkázás világába. A SK8-Hi igen népszerű modell lett, deszkások, zenészek, művészek és az ellenkultúra követőinek kedvence. Felsőrész anyaga: velúr bőr és vászon kombinációja.", "ingyenes", "1 munkanap" 
"7126", "Vans", "Atwood - (F17 Camo) Gray/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7126", "https://coreshop.hu/pictures/termekek/7/1/2/6/1_large.jpg", "16990", "13378", "", "ingyenes", "1 munkanap" 
"7125", "Vans", "Atwood - (F17 Camo) Green/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7125", "https://coreshop.hu/pictures/termekek/7/1/2/5/1_large.jpg", "16990", "13378", "", "ingyenes", "1 munkanap" 
