Cikksz�m|Term�kn�v|Term�kle�r�s|Brutt��r|Fot�link|Term�klink|Sz�ll�t�siId�|Sz�ll�t�siK�lts�g
6192|Vans Authentic|A New Yorkban alkotó multimédia-művész, Baron Von Fancy szerteágazó művészi munkássága a hatalmas, képregényes stílusban megalkotott festményektől az egyszerűnek tűnő, de játékos és egyben költői szövegekig terjed. Az 50-es évek plakátjainak stílusában pompázó Baron Von Fancy Authentic feltűnő, kézírásos feliratokkal vonja magára a figyelmet, élénk színű betétek dobják fel megjelenését. Jellemzői még a strapabíró vászon felsőrész, a fémből készüt bújtatók és a Vans-től megszokott gumitalp.|17990|http://www.coreshop.hu/pictures/termekek/6/1/9/2/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic/6192|1 munkanap|Ingyenes
6191|Vans SK8-Hi Slim Zip|A New Yorkban alkotó multiméda-művész, Baron Von Fancy szerteágazó művészi munkássága a hatalmas, képregényes stílusban megalkotott festményektől az egyszerűnek tűnő, de játékos és egyben költői szövegekig terjed. Az 50-es évek plakátjainak stílusában pompázó Baron Von Fancy Sk8-Hi Slim Zip feltűnő, kézírásos feliratokkal vonja magára a figyelmet, élénk színű betétek dobják fel megjelenését. Jellemzői még a strapabíró vászon felsőrész, a zipzáras sarok, a párnázás és a Vans-től megszokott ostya-mintázatú járótalp.|20990|http://www.coreshop.hu/pictures/termekek/6/1/9/1/1_small.jpg|http://www.coreshop.hu/hu/termek/sk8-hi_slim_zip/6191|1 munkanap|Ingyenes
6190|Vans TNT SG||19990|http://www.coreshop.hu/pictures/termekek/6/1/9/0/1_small.jpg|http://www.coreshop.hu/hu/termek/tnt_sg/6190|1 munkanap|Ingyenes
6189|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|21990|http://www.coreshop.hu/pictures/termekek/6/1/8/9/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6189|1 munkanap|Ingyenes
6174|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek. |20990|http://www.coreshop.hu/pictures/termekek/6/1/7/4/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6174|1 munkanap|Ingyenes
6173|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek. |20990|http://www.coreshop.hu/pictures/termekek/6/1/7/3/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6173|1 munkanap|Ingyenes
6172|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|20990|http://www.coreshop.hu/pictures/termekek/6/1/7/2/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6172|1 munkanap|Ingyenes
6171|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|21990|http://www.coreshop.hu/pictures/termekek/6/1/7/1/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6171|1 munkanap|Ingyenes
6170|Vans Chukka Low|A Chukka Low a Vans-csapat legújabb fejlesztése; olyan klasszikusok inspirálták, mint az Authentic vagy a Chukka Boot. Szarvasbőr és szövet felsőrész; Vans-jellegzetesség Waffle (ostya) járótalp a jó tapadásért;  rezgéscsillapító és kényelmes UltraCush  HD betét; Pro Vulc felépítés: ez mind-mind a Chukka Low, az eredmény pedig egy cipő, ami a legtöbbet nyújtja a komfort, védelem, hajlékonyság és tapadás terén.|19990|http://www.coreshop.hu/pictures/termekek/6/1/7/0/1_small.jpg|http://www.coreshop.hu/hu/termek/chukka_low/6170|1 munkanap|Ingyenes
6169|Vans Classic Slip-On|Classic Slip-On: kell-e többet mondanunk? Nem nagyon; ez a cipő a gördeszkás- és popkultúra megkerülhetetlen eleme, a gördeszkaparkoktól a mozifilmekig, egyszóval a modern élet minden területén, szerte a világon. Minek köszönhető ez a népszerűség? Az utánozhatatlan minőségnek, emiatt is lett ez a cipő az Off The Wall-innovációs program egyik inspirálója.|17990|http://www.coreshop.hu/pictures/termekek/6/1/6/9/1_small.jpg|http://www.coreshop.hu/hu/termek/classic_slip-on/6169|1 munkanap|Ingyenes
